Name,Type,Nation,Epoch;
Моска-Быстрицкий МБ,Fighter,Другие,World War I;
Ольховский Торпедо,Fighter,Другие,World War I;
Сикорский С.XVI,Fighter,Другие,World War I;
Adamoli-Cattani fighter,Fighter,Другие,World War I;
Air Department AD Scout Sparrow,Fighter,Другие,World War I;
Airco DH.1,Fighter,Другие,World War I;
Airco DH.2,Fighter,Другие,World War I;
Airco DH.5,Fighter,Другие,World War I;
Albatros D.I D.II D.III D.V Dr.I,Fighter,Другие,World War I;
Albatros D.XI,Fighter,Другие,World War I;
Albatros Dr.II,Fighter,Другие,World War I;
Ansaldo A.1 Balilla,Fighter,Другие,World War I;
Armstrong Whitworth FK.10,Fighter,Другие,World War I;
Austin AFT.3 Osprey,Fighter,Другие,World War I;
Aviatik-Berg D.I D.II Dr.I,Fighter,Другие,World War I;
BAT FK.23 Bantam I,Fighter,Другие,World War I;
Blackburn Triplane,Fighter,Другие,World War I;
Bristol F.2A B C Fighter,Fighter,Другие,World War I;
Bristol M.1A B C D Scout,Fighter,Другие,World War I;
Caproni Ca.20,Fighter,Другие,World War I;
Dornier D.I,Fighter,Другие,World War I;
Fairey F.2,Fighter,Другие,World War I;
Fokker B.II,Fighter,Другие,World War I;
Fokker Dr.I,Fighter,Другие,World War I;
Fokker D.I D.II D.III D.IV D.V D.VI,Fighter,Другие,World War I;
Fokker D.VII,Fighter,Другие,World War I;
Fokker D.VIII E.V,Fighter,Другие,World War I;
Fokker E.I E.II E.III E.IV Eindecker,Fighter,Другие,World War I;
Fokker V.1,Fighter,Другие,World War I;
Haefeli DH-4,Fighter,Другие,World War I;
Halberstadt D.I D.II D.III D.V,Fighter,Другие,World War I;
Hanriot HD.1,Fighter,Другие,World War I;
Hanriot HD.3,Fighter,Другие,World War I;
Hansa-Brandenburg D.I,Fighter,Другие,World War I;
Hansa-Brandenburg Triplane,Fighter,Другие,World War I;
Junkers J.7 J.9 (D.I),Fighter,Другие,World War I;
Kondor D.I,Fighter,Другие,World War I;
LFG Roland D.II,Fighter,Другие,World War I;
LFG Roland D.VI,Fighter,Другие,World War I;
Lloyd Triplane,Fighter,Другие,World War I;
Loening M-8,Fighter,Другие,World War I;
Lohner AA,Fighter,Другие,World War I;
Martin Kitten K.III,Fighter,Другие,World War I;
Martinsyde S.1,Fighter,Другие,World War I;
Morane-Saulnier AC,Fighter,Другие,World War I;
Morane-Saulnier AI MS.27 MS.29 MS.30,Fighter,Другие,World War I;
Morane-Saulnier I N,Fighter,Другие,World War I;
Morane-Saulnier G H L,Fighter,Другие,World War I;
Nielsen and Winther A S Type Aa,Fighter,Другие,World War I;
Nieuport 9 10,Fighter,Другие,World War I;
Nieuport 11 16 Bebe,Fighter,Другие,World War I;
